TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_TOT_SOMM,TML_REGIONE,TML_NUTS
2021-01-02,PF/BT,12M810,MONFALCONE,FVG,40-49,16,63,0,78,1,0,0,79,0,79,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,12M810,MONFALCONE,FVG,50-59,30,93,0,114,9,0,0,123,0,123,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,12M810,MONFALCONE,FVG,60-69,32,22,0,53,1,0,0,54,0,54,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,12M810,MONFALCONE,FVG,70-79,9,0,0,8,1,0,0,9,0,9,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,12M810,MONFALCONE,FVG,80-89,1,0,0,1,0,0,0,1,0,1,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,20-29,12,23,0,27,0,0,8,35,0,35,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,30-39,28,26,0,51,2,0,1,54,0,54,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,40-49,25,35,0,56,4,0,0,60,0,60,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,50-59,18,37,0,50,5,0,0,55,0,55,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,60-69,18,12,0,29,1,0,0,30,0,30,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,70-79,4,1,0,5,0,0,0,5,0,5,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,201010,CATTINARA,FVG,20-29,20,24,0,29,2,0,13,44,0,44,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,201010,CATTINARA,FVG,30-39,27,38,0,57,3,0,5,65,0,65,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,201010,CATTINARA,FVG,40-49,29,71,0,96,4,0,0,100,0,100,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,201010,CATTINARA,FVG,50-59,25,60,0,75,10,0,0,85,0,85,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,201010,CATTINARA,FVG,60-69,27,24,0,51,0,0,0,51,0,51,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,201010,CATTINARA,FVG,70-79,4,1,0,5,0,0,0,5,0,5,Friuli Venezia Giulia,ITH4
2021-01-03,PF/BT,201010,CATTINARA,FVG,16-19,0,1,0,0,0,0,1,1,0,1,Friuli Venezia Giulia,ITH4
2021-01-03,PF/BT,201010,CATTINARA,FVG,20-29,29,49,0,38,5,0,35,78,0,78,Friuli Venezia Giulia,ITH4
2021-01-03,PF/BT,201010,CATTINARA,FVG,30-39,20,36,0,45,1,0,10,56,0,56,Friuli Venezia Giulia,ITH4
2021-01-03,PF/BT,201010,CATTINARA,FVG,40-49,21,44,0,58,6,0,1,65,0,65,Friuli Venezia Giulia,ITH4
2021-01-03,PF/BT,201010,CATTINARA,FVG,50-59,19,45,0,55,9,0,0,64,0,64,Friuli Venezia Giulia,ITH4
2021-01-03,PF/BT,201010,CATTINARA,FVG,60-69,21,13,0,31,3,0,0,34,0,34,Friuli Venezia Giulia,ITH4
2021-01-03,PF/BT,201010,CATTINARA,FVG,70-79,12,1,0,11,2,0,0,13,0,13,Friuli Venezia Giulia,ITH4
2021-01-03,PF/BT,201010,CATTINARA,FVG,90+,0,1,0,0,0,1,0,1,0,1,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,20-29,19,25,0,39,3,0,2,44,0,44,Friuli Venezia Giulia,ITH4
2021-01-04,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,30-39,20,60,0,75,4,0,1,80,0,80,Friuli Venezia Giulia,ITH4
